term,average_offensiveness
mulignans,50
mud persons,
mud sharks,
moulinyans,
moxies,
MTNs,
moss eaters,
mossheads,
moulies,
moulignons,
moolinyan,96
moon crickets,100
Moors,
mokies,100
mongols,
mongs,
monkeys,100
mokes,
mochs,75
mockeys,
mockies,50
Mickey Finns,
mickeys,24
micks,25
mil bags,
millies,
Merkins,
lubras,
lugans,
mackerel snappers,50
macks,
leprechauns,
ling lings,
lowlanders,
Lebbos,
Lebs,
lefties,
lemonheads,
Kushis,
Kushites,
kykes,
latrinos,
kunt,77
kikes,
knackers,
kneegroes,
kotiyas,
khazars,
jijjiboos,75
Jits,50
jockies,
jocks,
jungle bunnys,
jigs,
Jihadis,72
jiggaboos,100
jiggabos,
jigaboos,100
jigaroonis,
jewbagg,98
jhants,
Japs,25
Jerries,
jew-fucked,99
jants,
japies,
Japland,86
island niggers,
ikeys,
injuns,
ice monkeys,
ice niggers,
idiots,17
ikes,
ikey mos,
Huns,
Hunyaks,
Hunyocks,
hymies,50
hos,
house niggers,
Hunkies,
Honyaks,
Honyocks,
hoosiers,100
hories,
hoes,68
honkeye,72
honkies,
honklets,
hicks,
higgers,50
hayseeds,
hebros,100
heebs,75
heinies,75
hairybacks,
halfricans,100
gypos,
gyppies,
gyppos,
guineas,
gurriers,
gualas,100
gubbas,
guidettes,
guidos,
gooks,100
greaseballs,
greasers,
groids,
guala gualas,
globalists,
golliwogs,
goobers,
gook eyes,
gins,
ginzos,
gippos,
gipps,
ghosts,
gimps,
gimpy,80
gin jockeys,
gingers,44
gender benders,25
Gerudos,
gews,
ghetto hamsters,
ghey,79
fuzzy wuzzies,
gables,
gashes,
gaylord,73
gaylords,
fuzzies,
frogs,
fruits,50
fudgepackers,50
FOBs,
fog niggers,
four by twos,
fezzes,
flipabeanos,50
flips,
fags,
fairies,
eyeties,
fagbags,
faggots,92
faggy,98
dyke jumpers,25
dykes,75
eggs,
eh holes,
eight balls,
dole bludgers,
dune coons,
dune niggers,100
divs,
divvies,
dogans,
doguns,
dhimmis,
diaper heads,
dindu,95
dinges,75
dingo fuckers,
Cushites,
dagos,
darkies,81
degos,
curry munchers,50
curry slurpers,
curry stinkers,88
Cushis,25
crows,
cunts,93
cotton pickers,
cow kissers,78
cowboy killers,
crackers,100
Congoids,
coolies,
coonadians,
coons,
cocoas,
coconuts,
coloreds,
coloureds,
conchudas,
closetfags,
cocksuckers,
Cocoa Puffs,
clams,
clog wogs,50
closet fags,
chonkies,56
Christ killers,
chugs,75
chunkies,
clamheads,51
cholo chasers,
cholo chasing,90
Chinamen,
Chinese wetbacks,
ching chongs,75
chinigs,100
chink a billies,
chee chees,
chi chis,
chiggers,
chili shitters,
chimped-out,97
celestials,
charvas,25
charvers,
chavs,
carrot snappers,
Caublasians,
cave niggers,93
camel jockeys,50
can eaters,
carpet pilots,
cab niggers,75
camel cowboys,
camel fuckers,
camel humpers,100
camel jackers,
bungas,
bungs,
burrheads,75
butt pirates,63
butterheads,75
Buddhaheads,
bug eaters,
buk buks,50
bumblebees,50
brownies,
bubbles,
bucketheads,
buckras,
bucks,50
brown invader,75
brown invaders,75
border niggers,100
Bounty bars,50
boxheads,
brass ankles,
boos,
bootlips,100
border bunnies,
border hoppers,
border jumpers,
booners,
boongas,
boongs,
boonies,26
boons,
bongs,
boojies,
book books,
bog hoppers,
bog jumpers,38
bog trotters,100
bogans,75
bohunks,
blaxicans,44
blockheads,
bludgers,
blue gums,25
bluegums,
black Barbies,
black dagos,
black invaders,
bints,10
birds,25
bitter clingers,25
bix noods,
bhremptis,
beaner shnitzels,
beaners,100
beanies,
Bengalis,41
beach niggers,
bean dippers,25
beaner babies,86
beaner baby,96
banana benders,1
banana landers,
bananas,
bamboo coons,
Aunt Janes,25
Aunt Jemimas,50
Aunt Marys,63
Aunt Sallys,
azns,
Argies,
Armos,
Anglos,
Anns,63
apes,93
apples,
Amos,50
anchor babies,62
Angies,
Americoons,
Ahabs,72
albinos,
abos,82
African catfishes,
Africoons,89
Afro-Saxons,25
afs,100
abbos,
ABCDs,40
ziojew,96
yard ape,99
yellow invader,97
wegro,99
whigga,71
tree nigger,100
wapanese,78
suspook,99
taco nigger,99
sheboon,99
sand nip,99
reffo,95
rice nigger,93
red nigger,98
pavement ape,98
Palestinkian,48
niggera,98
niggerette,98
niggerfag,98
niggerize,98
niggerwool,98
nigger-knock,99
nappyhead,99
muzzpig,94
muzzrat,94
muzzy,83
musla,94
muslimal,80
kneegrow,99
jewbag,96
jew-fucker,93
honklet,83
hori,83
guidette,80
gash,85
gay,76
gimp,97
fudgepacker,69
flipabeano,70
fagbag,98
derka derka,82
dindu nuffin,98
coonadian,99
clog wog,61
cocksucker,74
Congoid,92
chimp-out,97
cholo chaser,66
chimp pack,86
butt pirate,75
bootlip,90
black invader,82
tynekere,86
tynkard,86
tynkare,86
Rhine monkey,63
proddywhoddy,82
pommie grant,85
bhrempti,12
mongol,90
blue gum,65
nafri,81
flip,98
globalist,91
holohoax,98
bint,10
latrino,71
conchuda,96
closetfag,73
closet fag,86
tyncar,86
chi chi,89
MTN,73
harambe,98
Hunyock,98
moss eater,99
proddywoddy,78
divvy,79
div,77
spickaboo,99
chinig,96
ZOG lover,96
sideways cooter,88
kotiya,83
gook eye,97
jigarooni,86
smoked Irish,73
oven dodger,66
Russellite ,94
ghetto hamster,82
roofucker,89
ikey mo,85
plastic paddy,90
paddy,98
gin jockey,71
Honyock,77
zigabo,73
smoked Irishman,92
dyke jumper,45
border nigger,98
Amo,35
cave nigger,96
Caublasian,54
carrot snapper,72
camel fucker,84
ice monkey,73
butterhead,75
buk buk,61
buckra,65
brass ankle,75
boon,75
booner,75
slopehead,83
dune nigger,100
nitchee,76
zippohead,97
bog jumper,48
bog hopper,66
dole bludger,95
bludger,13
blaxican,40
bix nood,
fog nigger,99
beaner shnitzel,90
bean dipper,50
beach nigger,81
banjo lips,89
banana lander,24
banana bender,25
Buddhahead,71
mackerel snapper ,64
camel jacker,90
Hunyak,72
wiggerette,99
pohm,76
semihole,91
Armo,51
chink a billy,99
Chinese wetback,99
tinkard,86
lubra,92
eh hole,47
cab nigger,87
Jim Fish,88
cow kisser,83
mockie,72
dogun,86
bong,92
boong,92
